source_db_id;source_schema_name;source_table_name;target_db_id;target_schema_name;target_table_name;source_insert_id_colname;source_last_updated_on_colname;is_static_support_table;can_insert_rows;can_update_rows;can_delete_rows;mirror_algorithm_id;mirror_tables;compare_tables;mark_rows_for_deletion_algorithm_id;delete_marked_rows_algorithm_id;mark_rows_for_deletion;delete_marked_rows;row_can_be_deleted_from_seconds;can_delete_row_schema_name;can_delete_row_table_name;delete_marked_rows_table_order
10;obo;imageanalysis_restres_subcode;20;obo;;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
10;obo;java_exception_data;20;obo;;jed_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;;;
10;obo;java_exception_data_links;20;obo;;java_exception_data_link_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;;;
10;obo;key_status;20;obo;;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
10;obo;list_control;20;obo;;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
10;obo;managed_process_control;20;obo;;mpc_id;heartbeat_timestamp;N;Y;Y;N;2;Y;Y;0;0;N;N;;;;
10;obo;managed_process_register;20;obo;;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
10;obo;managed_process_versions;20;obo;;mpv_id;last_updated_on;N;Y;Y;N;2;Y;Y;0;0;N;N;;;;
10;obo;manual_declaration_details;20;obo;;mdd_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;;;
10;obo;manual_declaration_register;20;obo;;mdr_id;last_updated_on;N;Y;Y;N;2;Y;Y;0;0;N;N;;;;
10;obo;manual_declaration_status;20;obo;;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
10;obo;manual_declaration_type;20;obo;;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
10;obo;manualdeclaration_restreq_tracking;20;obo;;request_tracking_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;;;
10;obo;manualdeclaration_restreq_type;20;obo;;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
10;obo;manualdeclaration_restres_error_details;20;obo;;rred_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;;;
10;obo;manualdeclaration_restres_subcode;20;obo;;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
10;obo;manually_adjusted_rating_detail_data;20;obo;;mardd_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;;;
10;obo;mapdata_section_attributes;20;obo;;mapdatapl_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;;;
10;obo;mapdata_section_markers;20;obo;;mapdatamar_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;;;
10;obo;mapdata_section_polylines;20;obo;;mapdatapl_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;;;
10;obo;mex_dedupe_pool_obocbo_action_lists;20;obo;;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
10;obo;mex_dedupe_pool_obocbo_toll_declarations;20;obo;;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
10;obo;mex_dedupe_pool_rseda_action_lists;20;obo;;pool_item_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;;;
10;obo;mex_dedupe_pool_rseda_passages;20;obo;;pool_item_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;;;
10;obo;mex_event_category;20;obo;;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
10;obo;mex_track_obocbo_action_lists;20;obo;;mex_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;;;
10;obo;mex_track_obocbo_toll_declarations;20;obo;;mex_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;;;
10;obo;mex_track_rseda_action_lists;20;obo;;mex_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;;;
10;obo;mex_track_rseda_passages;20;obo;;mex_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;;;
10;obo;obu_black_list;20;obo;;obu_black_list_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;;;
10;obo;obu_black_list_datamap;20;obo;;;;N;Y;N;Y;4;Y;Y;0;0;N;N;;;;
10;obo;obu_manufacturers;20;obo;;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
10;obo;passage_event_data_signatures;20;obo;;data_signature_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;;;
;;;;;;;;;;;;;;;;;;;;;;
10;obo;passage_event_derived_data_details;20;obo;;pedd_id;last_updated_on;N;Y;Y;N;2;Y;Y;0;0;N;N;;;;
10;obo;passage_event_dsrc_data;20;obo;;pe_dsrc_data_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;;;
10;obo;passage_event_gps_data;20;obo;;gps_data_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;;;
10;obo;passage_event_image_data;20;obo;;peid_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;;;
10;obo;passage_event_vehicle_data;20;obo;;pe_vehicle_data_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;;;
;;;;;;;;;;;;;;;;;;;;;;
10;obo;pe_datalifecycle_control;20;obo;;pedlc_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;;;
10;obo;pe_datalifecycle_status;20;obo;;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
10;obo;pedd_processing_queue;20;obo;;pedd_processing_queue_id;completed_timestamp;N;Y;Y;N;2;Y;Y;0;0;N;N;;;;
10;obo;priority_class;20;obo;;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
10;obo;process_state;20;obo;;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
10;obo;processing_queue_status;20;obo;;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
10;obo;property_collection_data;20;obo;;property_collection_data_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;;;
10;obo;property_collection_links;20;obo;;property_collection_link_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;;;
10;obo;property_collections;20;obo;;property_collection_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;;;
10;obo;publishing_queue_status;20;obo;;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
10;obo;rate_component_fee_category;20;obo;;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
10;obo;rate_component_fee_type;20;obo;;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
10;obo;rate_modification_category;20;obo;;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
10;obo;rate_modification_reason;20;obo;;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
10;obo;road_scheme_work_buffer;20;obo;;rswb_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;;;
10;obo;roadside_received_data_tracking;20;obo;;rrdt_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;;;
10;obo;roi_producer;20;obo;;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
10;obo;roi_type;20;obo;;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
10;obo;rse_alpr_status;20;obo;;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
10;obo;security_authentication_type;20;obo;;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
10;obo;security_realms;20;obo;;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
10;obo;security_roles;20;obo;;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
10;obo;servicehost_restreq_errors;20;obo;;request_tracking_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;;;
10;obo;sid_register;20;obo;;sid;last_updated_on;N;Y;Y;N;2;Y;Y;0;0;N;N;;;;
10;obo;sid_roles;20;obo;;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
10;obo;status_list_publish_status;20;obo;;;last_published_timestamp;N;Y;Y;N;4;Y;Y;0;0;N;N;;;;
10;obo;status_list_reason_code;20;obo;;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
10;obo;status_list_status;20;obo;;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
10;obo;status_list_type;20;obo;;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
10;obo;tariff_scheme_data;20;obo;;tariff_scheme_data_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;;;
10;obo;tariff_scheme_exception_register;20;obo;;tser_id;last_updated_on;N;Y;Y;N;2;Y;Y;0;0;N;N;;;;
10;obo;tariff_scheme_exception_status;20;obo;;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
10;obo;tariff_scheme_exception_type;20;obo;;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
10;obo;tariff_scheme_status;20;obo;;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
10;obo;tariff_scheme_validity;20;obo;;tariff_scheme_id;last_updated_on;N;Y;Y;N;2;Y;Y;0;0;N;N;;;;
10;obo;tariff_scheme_work_buffer;20;obo;;tswb_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;;;
10;obo;toll_declaration_publishing_queue;20;obo;;tdpq_id;completed_timestamp;N;Y;Y;N;2;Y;Y;0;0;N;N;;;;
10;obo;tollcalculator_restreq_tracking;20;obo;;request_tracking_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;;;
10;obo;tollcalculator_restreq_type;20;obo;;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
10;obo;tollcalculator_restres_error_details;20;obo;;rred_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;;;
10;obo;tollcalculator_restres_subcode;20;obo;;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
10;obo;topology_restreq_tracking;20;obo;;request_tracking_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;;;
10;obo;topology_restreq_type;20;obo;;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
10;obo;topology_restres_error_details;20;obo;;rred_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;;;
10;obo;topology_restres_subcode;20;obo;;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
10;obo;transaction_adjustment_publishing_queue;20;obo;;tapq_id;completed_timestamp;N;Y;Y;N;2;Y;Y;0;0;N;N;;;;
10;obo;transaction_adjustment_register;20;obo;;tar_id;last_updated_on;N;Y;Y;N;2;Y;Y;0;0;N;N;;;;
10;obo;transaction_adjustment_status;20;obo;;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
10;obo;transaction_adjustment_subtype;20;obo;;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
10;obo;transaction_adjustment_type;20;obo;;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
10;obo;transactionadjustment_restreq_tracking;20;obo;;request_tracking_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;;;
10;obo;transactionadjustment_restreq_type;20;obo;;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
10;obo;transactionadjustment_restres_error_details;20;obo;;rred_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;;;
10;obo;transactionadjustment_restres_subcode;20;obo;;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
10;obo;vat_scheme_data;20;obo;;vat_scheme_data_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;;;
10;obo;vat_scheme_status;20;obo;;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
10;obo;vat_scheme_validity;20;obo;;vat_scheme_id;last_updated_on;N;Y;Y;N;2;Y;Y;0;0;N;N;;;;
10;obo;vehicle_data_actionlist_matches;20;obo;;vdalm_id;lookup_timestamp;N;Y;Y;N;2;Y;Y;0;0;N;N;;;;
10;obo;vehicle_register;20;obo;;vehicle_register_id;last_seen_on;N;Y;Y;N;2;Y;Y;0;0;N;N;;;;
10;obo;vehicle_register_status;20;obo;;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
10;obo;wepe_status;20;obo;;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
10;obo;workflow_engine_active_workflows;20;obo;;weawf_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;;;
10;obo;workflow_engine_processing_exceptions;20;obo;;wepe_id;requeued_on;N;Y;Y;N;2;Y;Y;0;0;N;N;;;;
10;obo;workflow_engine_workflow_history;20;obo;;wewfh_id;workflow_completion_timestamp;N;Y;Y;N;2;Y;Y;0;0;N;N;;;;
10;obo;workflow_engine_workflow_step_history;20;obo;;wewfsh_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;;;
10;obo;workflow_register;20;obo;;workflow_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;;;
10;obo;workflow_step_register;20;obo;;workflow_step_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;;;
