source_db_id;source_schema_name;source_table_name;target_db_id;target_schema_name;target_table_name;source_insert_id_colname;source_last_updated_on_colname;is_static_support_table;can_insert_rows;can_update_rows;can_delete_rows;update_target_table_algorithm_id;update_target_table;compare_target_table;mark_rows_for_deletion_algorithm_id;delete_marked_rows_algorithm_id;mark_rows_for_deletion;delete_marked_rows;row_can_be_deleted_from_seconds;can_delete_row_schema_name;can_delete_row_table_name;delete_marked_rows_table_order;source_db_etl_state_register_schema_name;source_db_etl_state_register_table_name
6;public;notification_extended_data;10;public;mon__notification_extended_data;ned_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;<null>;<null>;;public;dwh_etl_state_register
6;public;notification_level;10;public;mon__notification_level;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;<null>;<null>;;public;dwh_etl_state_register
6;public;notifications;10;public;mon__notifications;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;<null>;<null>;;public;dwh_etl_state_register
6;public;process_state;10;public;mon__process_state;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;<null>;<null>;;public;dwh_etl_state_register
6;public;property_collection_data;10;public;mon__property_collection_data;property_collection_data_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;<null>;<null>;;public;dwh_etl_state_register
6;public;property_collection_links;10;public;mon__property_collection_links;property_collection_link_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;<null>;<null>;;public;dwh_etl_state_register
6;public;property_collections;10;public;mon__property_collections;property_collection_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;<null>;<null>;;public;dwh_etl_state_register
6;public;publishing_queue_status;10;public;mon__publishing_queue_status;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;<null>;<null>;;public;dwh_etl_state_register
6;public;security_authentication_type;10;public;mon__security_authentication_type;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;<null>;<null>;;public;dwh_etl_state_register
6;public;security_realms;10;public;mon__security_realms;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;<null>;<null>;;public;dwh_etl_state_register
6;public;security_roles;10;public;mon__security_roles;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;<null>;<null>;;public;dwh_etl_state_register
6;public;sid_register;10;public;mon__sid_register;sid;last_updated_on;N;Y;Y;N;6;Y;Y;0;0;N;N;;<null>;<null>;;public;dwh_etl_state_register
6;public;sid_roles;10;public;mon__sid_roles;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;<null>;<null>;;public;dwh_etl_state_register
2;public;account_status_list;10;public;obo__account_status_list;record_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;<null>;<null>;;public;dwh_etl_state_register
2;public;actionlists_restreq_tracking;10;public;obo__actionlists_restreq_tracking;request_tracking_id;;N;Y;Y;Y;1;Y;Y;0;0;N;N;;<null>;<null>;;public;dwh_etl_state_register
2;public;actionlists_restreq_type;10;public;obo__actionlists_restreq_type;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;<null>;<null>;;public;dwh_etl_state_register
2;public;actionlists_restres_error_details;10;public;obo__actionlists_restres_error_details;rred_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;<null>;<null>;;public;dwh_etl_state_register
2;public;actionlists_restres_subcode;10;public;obo__actionlists_restres_subcode;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;<null>;<null>;;public;dwh_etl_state_register
2;public;analysis_detailed_results;10;public;obo__analysis_detailed_results;analysis_detailed_result_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;<null>;<null>;;public;dwh_etl_state_register
2;public;analysis_queue;10;public;obo__analysis_queue;analysis_queue_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;<null>;<null>;;public;dwh_etl_state_register
2;public;analysis_queue_status;10;public;obo__analysis_queue_status;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;<null>;<null>;;public;dwh_etl_state_register
2;public;analysis_queue_type;10;public;obo__analysis_queue_type;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;<null>;<null>;;public;dwh_etl_state_register
2;public;analysis_request;10;public;obo__analysis_request;analysis_request_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;<null>;<null>;;public;dwh_etl_state_register
2;public;analysis_request_status;10;public;obo__analysis_request_status;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;<null>;<null>;;public;dwh_etl_state_register
2;public;analysis_request_type;10;public;obo__analysis_request_type;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;<null>;<null>;;public;dwh_etl_state_register
2;public;analysis_result_status;10;public;obo__analysis_result_status;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;<null>;<null>;;public;dwh_etl_state_register
2;public;analysis_result_type;10;public;obo__analysis_result_type;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;<null>;<null>;;public;dwh_etl_state_register
2;public;analysis_results;10;public;obo__analysis_results;analysis_result_id;last_updated_on;N;Y;Y;N;6;Y;Y;0;0;N;N;;<null>;<null>;;public;dwh_etl_state_register
2;public;applied_rating_detail_data;10;public;obo__applied_rating_detail_data;ardd_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;<null>;<null>;;public;dwh_etl_state_register
2;public;authenticator_verification_status;10;public;obo__authenticator_verification_status;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;<null>;<null>;;public;dwh_etl_state_register
2;public;axle_tariff_category;10;public;obo__axle_tariff_category;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;<null>;<null>;;public;dwh_etl_state_register
2;public;camera_register;10;public;obo__camera_register;camera_id;last_updated_on;N;Y;Y;N;6;Y;Y;0;0;N;N;;<null>;<null>;;public;dwh_etl_state_register
2;public;camera_status;10;public;obo__camera_status;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;<null>;<null>;;public;dwh_etl_state_register
2;public;camera_type;10;public;obo__camera_type;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;<null>;<null>;;public;dwh_etl_state_register
2;public;cc_processing_queue;10;public;obo__cc_processing_queue;cc_processing_queue_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;<null>;<null>;;public;dwh_etl_state_register
2;public;chasm_restreq_tracking;10;public;obo__chasm_restreq_tracking;request_tracking_id;request_completed_timestamp;N;Y;Y;N;6;Y;Y;0;0;N;N;;<null>;<null>;;public;dwh_etl_state_register
2;public;chasm_restreq_type;10;public;obo__chasm_restreq_type;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;<null>;<null>;;public;dwh_etl_state_register
2;public;chasm_restres_error_details;10;public;obo__chasm_restres_error_details;rred_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;<null>;<null>;;public;dwh_etl_state_register
2;public;chasm_restres_subcode;10;public;obo__chasm_restres_subcode;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;<null>;<null>;;public;dwh_etl_state_register
2;public;compliance_case_cbo_status;10;public;obo__compliance_case_cbo_status;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;<null>;<null>;;public;dwh_etl_state_register
2;public;compliance_case_completion_category;10;public;obo__compliance_case_completion_category;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;<null>;<null>;;public;dwh_etl_state_register
2;public;compliance_case_contact_info;10;public;obo__compliance_case_contact_info;ccci_id;last_updated_on;N;Y;Y;N;6;Y;Y;0;0;N;N;;<null>;<null>;;public;dwh_etl_state_register
2;public;compliance_case_dms_records;10;public;obo__compliance_case_dms_records;ccdmsr_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;<null>;<null>;;public;dwh_etl_state_register
2;public;compliance_case_eph_status;10;public;obo__compliance_case_eph_status;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;<null>;<null>;;public;dwh_etl_state_register
2;public;compliance_case_event_queue;10;public;obo__compliance_case_event_queue;cceq_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;<null>;<null>;;public;dwh_etl_state_register
2;public;compliance_case_event_type;10;public;obo__compliance_case_event_type;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;<null>;<null>;;public;dwh_etl_state_register
2;public;compliance_case_log;10;public;obo__compliance_case_log;cclog_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;<null>;<null>;;public;dwh_etl_state_register
2;public;compliance_case_passage_event_map;10;public;obo__compliance_case_passage_event_map;;;N;Y;N;Y;4;Y;Y;0;0;N;N;;<null>;<null>;;public;dwh_etl_state_register
2;public;compliance_case_publishing_queue;10;public;obo__compliance_case_publishing_queue;compliance_case_publishing_queue_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;<null>;<null>;;public;dwh_etl_state_register
2;public;compliance_case_register;10;public;obo__compliance_case_register;compliance_case_id;last_updated_on;N;Y;Y;N;6;Y;Y;0;0;N;N;;<null>;<null>;;public;dwh_etl_state_register
2;public;compliance_case_status;10;public;obo__compliance_case_status;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;<null>;<null>;;public;dwh_etl_state_register
2;public;compliance_case_type;10;public;obo__compliance_case_type;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;<null>;<null>;;public;dwh_etl_state_register
2;public;compliancecase_restreq_tracking;10;public;obo__compliancecase_restreq_tracking;request_tracking_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;<null>;<null>;;public;dwh_etl_state_register
2;public;compliancecase_restreq_type;10;public;obo__compliancecase_restreq_type;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;<null>;<null>;;public;dwh_etl_state_register
2;public;compliancecase_restres_error_details;10;public;obo__compliancecase_restres_error_details;rred_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;<null>;<null>;;public;dwh_etl_state_register
2;public;compliancecase_restres_subcode;10;public;obo__compliancecase_restres_subcode;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;<null>;<null>;;public;dwh_etl_state_register
2;public;config_allowed_status_list_reason_codes;10;public;obo__config_allowed_status_list_reason_codes;caslrc_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;<null>;<null>;;public;dwh_etl_state_register
2;public;config_status_list_code_mappings;10;public;obo__config_status_list_code_mappings;cslcm_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;<null>;<null>;;public;dwh_etl_state_register
2;public;control_point_event_capture_category;10;public;obo__control_point_event_capture_category;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;<null>;<null>;;public;dwh_etl_state_register
2;public;control_point_event_info_flags;10;public;obo__control_point_event_info_flags;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;<null>;<null>;;public;dwh_etl_state_register
2;public;control_point_status;10;public;obo__control_point_status;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;<null>;<null>;;public;dwh_etl_state_register
2;public;control_point_type;10;public;obo__control_point_type;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;<null>;<null>;;public;dwh_etl_state_register
2;public;control_points;10;public;obo__control_points;control_point_id;last_updated_on;Y;Y;Y;N;4;Y;Y;0;0;N;N;;<null>;<null>;;public;dwh_etl_state_register
